"Date","Good","Scale","Value"
"1980-02","Ammonia, anhydrous, 100%","units ","218293"
"1980-02","Ammonium nitrate, all grades","units ","86267"
"1980-02","Ammonium nitrate phosphate, all grades","units ","16302"
"1980-02","Ammonium phosphate, all grades","units ","129511"
"1980-02","Ammonium sulphate","units ",
"1980-02","Benzene","units ","50422"
"1980-02","Chlorine","units ","106016"
"1980-02","Ethylene","units ","90224"
"1980-02","Formaldehyde, 100% solids basis","units ",
"1980-02","Sodium chlorate","units ","17782"
"1980-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","118390"
"1980-02","Polyethylene, total","units ","53472"
"1980-02","Polyethylene, low and linear low density","units ","36181"
"1980-02","Polyethylene, high density","units ","17291"
"1980-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","8970"
"1980-02","Polyvinyl chloride","units ",
"1980-02","Polyesters, unsaturated","units ","3005"
"1980-02","Urea, all grades","units ","127232"
"1980-02","Phosphoric acid, wet process","units ","73600"
"1980-02","Butadiene","units ","21984"
"1980-02","Butylene","units ","9618"
"1980-02","Propylene, as propylene in all grades","units ","29802"
"1980-02","Toluene","units ","38078"
"1980-02","Xylene","units ","35167"
"1980-02","Methyl alcohol (methanol)","units ",
"1980-02","Acetone","units ","2794"
"1980-02","Nitric acid, 100 %","units ","45344"
"1980-02","Alcohol propyl, ISO","units ","6331"
"1980-03","Hydrochloric (muriatic) acid, 100%","units ","14323"
"1980-03","Sulphuric acid, all grades, including oleum, as 100%","units ","399498"
"1980-03","Ammonia, anhydrous, 100%","units ","224948"
"1980-03","Ammonium nitrate, all grades","units ","79330"
"1980-03","Ammonium nitrate phosphate, all grades","units ","12763"
"1980-03","Ammonium phosphate, all grades","units ","135777"
"1980-03","Ammonium sulphate","units ",
"1980-03","Benzene","units ","55680"
"1980-03","Chlorine","units ","106982"
"1980-03","Ethylene","units ","129628"
"1980-03","Formaldehyde, 100% solids basis","units ","7350"
"1980-03","Sodium chlorate","units ","21562"
"1980-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","119461"
"1980-03","Polyethylene, total","units ","69396"
"1980-03","Polyethylene, low and linear low density","units ","51280"
"1980-03","Polyethylene, high density","units ","18116"
"1980-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10555"
"1980-03","Polyvinyl chloride","units ",
"1980-03","Polyesters, unsaturated","units ","2832"
"1980-03","Urea, all grades","units ","115593"
"1980-03","Phosphoric acid, wet process","units ","75967"
"1980-03","Butadiene","units ","21984"
"1980-03","Butylene","units ","10101"
"1980-03","Propylene, as propylene in all grades","units ","41460"
"1980-03","Toluene","units ","36004"
"1980-03","Xylene","units ","37693"
"1980-03","Methyl alcohol (methanol)","units ",
"1980-03","Acetone","units ","3436"
"1980-03","Nitric acid, 100 %","units ","46805"
"1980-03","Alcohol propyl, ISO","units ","10610"
"1980-04","Hydrochloric (muriatic) acid, 100%","units ","17856"
"1980-04","Sulphuric acid, all grades, including oleum, as 100%","units ","398654"
"1980-04","Ammonia, anhydrous, 100%","units ","219902"
"1980-04","Ammonium nitrate, all grades","units ","77695"
"1980-04","Ammonium nitrate phosphate, all grades","units ","18625"
"1980-04","Ammonium phosphate, all grades","units ","129566"
"1980-04","Ammonium sulphate","units ",
"1980-04","Benzene","units ","54194"
"1980-04","Chlorine","units ","116612"
"1980-04","Ethylene","units ","110632"
"1980-04","Formaldehyde, 100% solids basis","units ",
"1980-04","Sodium chlorate","units ","19215"
"1980-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","127226"
"1980-04","Polyethylene, total","units ","45651"
"1980-04","Polyethylene, low and linear low density","units ","30406"
"1980-04","Polyethylene, high density","units ","15245"
"1980-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9463"
"1980-04","Polyvinyl chloride","units ",
"1980-04","Polyesters, unsaturated","units ","2426"
"1980-04","Urea, all grades","units ","129545"
"1980-04","Phosphoric acid, wet process","units ","72907"
"1980-04","Butadiene","units ","21565"
"1980-04","Butylene","units ","10430"
"1980-04","Propylene, as propylene in all grades","units ","60487"
"1980-04","Toluene","units ","31121"
"1980-04","Xylene","units ","32477"
"1980-04","Methyl alcohol (methanol)","units ",
"1980-04","Acetone","units ","1167"
"1980-04","Nitric acid, 100 %","units ","63387"
"1980-04","Alcohol propyl, ISO","units ","5574"
"1980-05","Hydrochloric (muriatic) acid, 100%","units ","14949"
"1980-05","Sulphuric acid, all grades, including oleum, as 100%","units ","372201"
"1980-05","Ammonia, anhydrous, 100%","units ","210408"
"1980-05","Ammonium nitrate, all grades","units ","79518"
"1980-05","Ammonium nitrate phosphate, all grades","units ","11359"
"1980-05","Ammonium phosphate, all grades","units ","129917"
"1980-05","Ammonium sulphate","units ",
"1980-05","Benzene","units ","43727"
"1980-05","Chlorine","units ","111178"
"1980-05","Ethylene","units ","90781"
"1980-05","Formaldehyde, 100% solids basis","units ",
"1980-05","Sodium chlorate","units ","18830"
"1980-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","126067"
"1980-05","Polyethylene, total","units ","44271"
"1980-05","Polyethylene, low and linear low density","units ","30746"
"1980-05","Polyethylene, high density","units ","13525"
"1980-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7722"
"1980-05","Polyvinyl chloride","units ",
"1980-05","Polyesters, unsaturated","units ","2697"
"1980-05","Urea, all grades","units ","79393"
"1980-05","Phosphoric acid, wet process","units ","71323"
"1980-05","Butadiene","units ",
"1980-05","Butylene","units ","11006"
"1980-05","Propylene, as propylene in all grades","units ","64609"
"1980-05","Toluene","units ","10401"
"1980-05","Xylene","units ","32209"
"1980-05","Methyl alcohol (methanol)","units ",
"1980-05","Acetone","units ","2861"
"1980-05","Nitric acid, 100 %","units ","70395"
"1980-05","Alcohol propyl, ISO","units ","4416"
"1980-06","Hydrochloric (muriatic) acid, 100%","units ","10770"
"1980-06","Sulphuric acid, all grades, including oleum, as 100%","units ","295244"
"1980-06","Ammonia, anhydrous, 100%","units ","152773"
"1980-06","Ammonium nitrate, all grades","units ","52809"
"1980-06","Ammonium nitrate phosphate, all grades","units ",
"1980-06","Ammonium phosphate, all grades","units ","94249"
"1980-06","Ammonium sulphate","units ",
"1980-06","Benzene","units ","49432"
"1980-06","Chlorine","units ","106921"
"1980-06","Ethylene","units ","114685"
"1980-06","Formaldehyde, 100% solids basis","units ",
"1980-06","Sodium chlorate","units ","21979"
"1980-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","119704"
"1980-06","Polyethylene, total","units ","50069"
"1980-06","Polyethylene, low and linear low density","units ","34139"
"1980-06","Polyethylene, high density","units ","15930"
"1980-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7848"
"1980-06","Polyvinyl chloride","units ",
"1980-06","Polyesters, unsaturated","units ","2109"
"1980-06","Urea, all grades","units ","83117"
"1980-06","Phosphoric acid, wet process","units ","45537"
"1980-06","Butadiene","units ","21489"
"1980-06","Butylene","units ","9565"
"1980-06","Propylene, as propylene in all grades","units ","58799"
"1980-06","Toluene","units ","29141"
"1980-06","Xylene","units ","27725"
"1980-06","Methyl alcohol (methanol)","units ",
"1980-06","Acetone","units ","2418"
"1980-06","Nitric acid, 100 %","units ","43247"
"1980-06","Alcohol propyl, ISO","units ","3082"
"1980-07","Hydrochloric (muriatic) acid, 100%","units ","15747"
"1980-07","Sulphuric acid, all grades, including oleum, as 100%","units ","305034"
"1980-07","Ammonia, anhydrous, 100%","units ","224501"
"1980-07","Ammonium nitrate, all grades","units ",
"1980-07","Ammonium nitrate phosphate, all grades","units ",
"1980-07","Ammonium phosphate, all grades","units ","118236"
"1980-07","Ammonium sulphate","units ",
"1980-07","Benzene","units ","46784"
"1980-07","Chlorine","units ","113116"
"1980-07","Ethylene","units ","97353"
"1980-07","Formaldehyde, 100% solids basis","units ",
"1980-07","Sodium chlorate","units ","18343"
"1980-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","129886"
"1980-07","Polyethylene, total","units ","40347"
"1980-07","Polyethylene, low and linear low density","units ","26562"
"1980-07","Polyethylene, high density","units ","13785"
"1980-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7164"
"1980-07","Polyvinyl chloride","units ","10834"
"1980-07","Polyesters, unsaturated","units ","1995"
"1980-07","Urea, all grades","units ","76892"
"1980-07","Phosphoric acid, wet process","units ","54028"
"1980-07","Butadiene","units ","23806"
"1980-07","Butylene","units ","11408"
"1980-07","Propylene, as propylene in all grades","units ","61179"
"1980-07","Toluene","units ","44183"
"1980-07","Xylene","units ","34593"
"1980-07","Methyl alcohol (methanol)","units ",
"1980-07","Acetone","units ","1401"
"1980-07","Nitric acid, 100 %","units ","49066"
"1980-07","Alcohol propyl, ISO","units ","4935"
"1980-08","Hydrochloric (muriatic) acid, 100%","units ","13181"
"1980-08","Sulphuric acid, all grades, including oleum, as 100%","units ","324183"
"1980-08","Ammonia, anhydrous, 100%","units ","214905"
"1980-08","Ammonium nitrate, all grades","units ","60850"
"1980-08","Ammonium nitrate phosphate, all grades","units ",
"1980-08","Ammonium phosphate, all grades","units ","123593"
"1980-08","Ammonium sulphate","units ",
"1980-08","Benzene","units ","42050"
"1980-08","Chlorine","units ","105001"
"1980-08","Ethylene","units ","104994"
"1980-08","Formaldehyde, 100% solids basis","units ",
"1980-08","Sodium chlorate","units ","19429"
"1980-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","117292"
"1980-08","Polyethylene, total","units ","42869"
"1980-08","Polyethylene, low and linear low density","units ","28277"
"1980-08","Polyethylene, high density","units ","14592"
"1980-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","8317"
"1980-08","Polyvinyl chloride","units ","10501"
"1980-08","Polyesters, unsaturated","units ","1632"
"1980-08","Urea, all grades","units ","111486"
"1980-08","Phosphoric acid, wet process","units ","72261"
"1980-08","Butadiene","units ","21631"
"1980-08","Butylene","units ","9528"
"1980-08","Propylene, as propylene in all grades","units ","56725"
"1980-08","Toluene","units ","51230"
"1980-08","Xylene","units ","37451"
"1980-08","Methyl alcohol (methanol)","units ",
"1980-08","Acetone","units ","3314"
"1980-08","Nitric acid, 100 %","units ","54683"
"1980-08","Alcohol propyl, ISO","units ","8902"
"1980-09","Hydrochloric (muriatic) acid, 100%","units ","12622"
"1980-09","Sulphuric acid, all grades, including oleum, as 100%","units ","308237"
"1980-09","Ammonia, anhydrous, 100%","units ","201069"
"1980-09","Ammonium nitrate, all grades","units ","53991"
"1980-09","Ammonium nitrate phosphate, all grades","units ","8537"
"1980-09","Ammonium phosphate, all grades","units ","98449"
"1980-09","Ammonium sulphate","units ",
"1980-09","Benzene","units ","33899"
"1980-09","Chlorine","units ","98018"
"1980-09","Ethylene","units ","69871"
"1980-09","Formaldehyde, 100% solids basis","units ","6262"
"1980-09","Sodium chlorate","units ","22048"
"1980-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","110251"
"1980-09","Polyethylene, total","units ","60511"
"1980-09","Polyethylene, low and linear low density","units ","40654"
"1980-09","Polyethylene, high density","units ","19857"
"1980-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","8964"
"1980-09","Polyvinyl chloride","units ","15962"
"1980-09","Polyesters, unsaturated","units ","2055"
"1980-09","Urea, all grades","units ","96927"
"1980-09","Phosphoric acid, wet process","units ","52678"
"1980-09","Butadiene","units ","19021"
"1980-09","Butylene","units ","7035"
"1980-09","Propylene, as propylene in all grades","units ","35108"
"1980-09","Toluene","units ","39534"
"1980-09","Xylene","units ","31035"
"1980-09","Methyl alcohol (methanol)","units ",
"1980-09","Acetone","units ","2225"
"1980-09","Nitric acid, 100 %","units ","61747"
"1980-09","Alcohol propyl, ISO","units ","5401"
"1980-10","Hydrochloric (muriatic) acid, 100%","units ","17937"
"1980-10","Sulphuric acid, all grades, including oleum, as 100%","units ","388465"
"1980-10","Ammonia, anhydrous, 100%","units ","190285"
"1980-10","Ammonium nitrate, all grades","units ","75246"
"1980-10","Ammonium nitrate phosphate, all grades","units ","9985"
"1980-10","Ammonium phosphate, all grades","units ","135008"
"1980-10","Ammonium sulphate","units ",
"1980-10","Benzene","units ","26999"
"1980-10","Chlorine","units ",
"1980-10","Ethylene","units ","73336"
"1980-10","Formaldehyde, 100% solids basis","units ",
"1980-10","Sodium chlorate","units ","20065"
"1980-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","128071"
"1980-10","Polyethylene, total","units ","53915"
"1980-10","Polyethylene, low and linear low density","units ","35060"
"1980-10","Polyethylene, high density","units ","18855"
"1980-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10706"
"1980-10","Polyvinyl chloride","units ","18687"
"1980-10","Polyesters, unsaturated","units ","2175"
"1980-10","Urea, all grades","units ","88905"
"1980-10","Phosphoric acid, wet process","units ","73552"
"1980-10","Butadiene","units ","17743"
"1980-10","Butylene","units ",
"1980-10","Propylene, as propylene in all grades","units ","35359"
"1980-10","Toluene","units ","35708"
"1980-10","Xylene","units ","28093"
"1980-10","Methyl alcohol (methanol)","units ",
"1980-10","Acetone","units ","2621"
"1980-10","Nitric acid, 100 %","units ","77652"
"1980-10","Alcohol propyl, ISO","units ","6954"
"1980-11","Hydrochloric (muriatic) acid, 100%","units ","14049"
"1980-11","Sulphuric acid, all grades, including oleum, as 100%","units ","374804"
"1980-11","Ammonia, anhydrous, 100%","units ","221836"
"1980-11","Ammonium nitrate, all grades","units ","78210"
"1980-11","Ammonium nitrate phosphate, all grades","units ","12191"
"1980-11","Ammonium phosphate, all grades","units ","111797"
"1980-11","Ammonium sulphate","units ",
"1980-11","Benzene","units ","49205"
"1980-11","Chlorine","units ","107436"
"1980-11","Ethylene","units ","97499"
"1980-11","Formaldehyde, 100% solids basis","units ",
"1980-11","Sodium chlorate","units ","20116"
"1980-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","119002"
"1980-11","Polyethylene, total","units ","57849"
"1980-11","Polyethylene, low and linear low density","units ","41612"
"1980-11","Polyethylene, high density","units ","16237"
"1980-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10595"
"1980-11","Polyvinyl chloride","units ","16763"
"1980-11","Polyesters, unsaturated","units ","2326"
"1980-11","Urea, all grades","units ","123589"
"1980-11","Phosphoric acid, wet process","units ","70747"
"1980-11","Butadiene","units ","22007"
"1980-11","Butylene","units ",
"1980-11","Propylene, as propylene in all grades","units ","57622"
"1980-11","Toluene","units ","45701"
"1980-11","Xylene","units ","35923"
"1980-11","Methyl alcohol (methanol)","units ",
"1980-11","Acetone","units ","2721"
"1980-11","Nitric acid, 100 %","units ","74263"
"1980-11","Alcohol propyl, ISO","units ","7669"
"1980-12","Hydrochloric (muriatic) acid, 100%","units ","16299"
"1980-12","Sulphuric acid, all grades, including oleum, as 100%","units ","375928"
"1980-12","Ammonia, anhydrous, 100%","units ","238018"
